id_cliente;churn_real;probabilidad_abandono;prediccion;nivel_riesgo
4274;0;0.0;0;Bajo
821;0;0.305;0;Bajo
765;0;0.13;0;Bajo
2803;0;0.005;0;Bajo
1465;0;0.08;0;Bajo
2826;0;0.015;0;Bajo
701;0;0.21;0;Bajo
1884;0;0.02;0;Bajo
3352;1;0.93;1;Alto
3830;0;0.27;0;Bajo
1903;0;0.31;0;Bajo
4138;1;0.18;0;Bajo
3164;0;0.005;0;Bajo
1566;0;0.005;0;Bajo
2871;0;0.365;0;Medio
212;0;0.01;0;Bajo
3781;0;0.15;0;Bajo
4932;0;0.395;0;Medio
979;0;0.09;0;Bajo
1480;0;0.01;0;Bajo
2744;0;0.275;0;Bajo
4150;0;0.17;0;Bajo
4523;0;0.28;0;Bajo
4612;0;0.155;0;Bajo
3859;0;0.515;1;Medio
50;0;0.39;0;Medio
4516;0;0.06;0;Bajo
52;0;0.01;0;Bajo
3554;0;0.11;0;Bajo
3915;0;0.035;0;Bajo
1641;0;0.12;0;Bajo
3565;0;0.015;0;Bajo
3962;0;0.16;0;Bajo
528;0;0.07;0;Bajo
510;1;0.15;0;Bajo
3540;0;0.125;0;Bajo
3242;0;0.165;0;Bajo
4171;1;0.54;1;Medio
3528;0;0.46;0;Medio
3301;1;0.135;0;Bajo
1265;0;0.195;0;Bajo
4879;0;0.32;0;Bajo
2486;0;0.035;0;Bajo
1088;0;0.52;1;Medio
4252;0;0.265;0;Bajo
2828;1;0.91;1;Alto
4240;0;0.32;0;Bajo
1552;0;0.02;0;Bajo
3481;1;0.155;0;Bajo
4223;0;0.685;1;Alto
1398;1;0.395;0;Medio
308;0;0.07;0;Bajo
860;0;0.0;0;Bajo
1300;0;0.005;0;Bajo
3066;1;0.355;0;Medio
76;1;0.545;1;Medio
3999;0;0.02;0;Bajo
3254;1;0.145;0;Bajo
3957;0;0.005;0;Bajo
108;0;0.0;0;Bajo
3944;1;0.265;0;Bajo
3261;0;0.155;0;Bajo
1484;0;0.095;0;Bajo
4853;0;0.18;0;Bajo
1320;1;0.47;0;Medio
1489;0;0.315;0;Bajo
4604;1;0.715;1;Alto
3614;0;0.055;0;Bajo
389;0;0.0;0;Bajo
1828;0;0.24;0;Bajo
1384;0;0.005;0;Bajo
4268;1;0.31;0;Bajo
3725;0;0.005;0;Bajo
2086;0;0.11;0;Bajo
612;0;0.15;0;Bajo
1495;1;0.105;0;Bajo
4433;0;0.495;0;Medio
3651;0;0.06;0;Bajo
3379;0;0.07;0;Bajo
2423;0;0.035;0;Bajo
838;0;0.29;0;Bajo
3574;0;0.005;0;Bajo
1555;0;0.01;0;Bajo
3900;0;0.07;0;Bajo
2758;1;0.4;0;Medio
4037;0;0.205;0;Bajo
1188;0;0.525;1;Medio
1700;0;0.01;0;Bajo
3936;1;0.92;1;Alto
704;0;0.005;0;Bajo
2547;0;0.375;0;Medio
51;0;0.005;0;Bajo
4835;1;0.885;1;Alto
2278;0;0.18;0;Bajo
1727;0;0.075;0;Bajo
194;0;0.64;1;Medio
2313;0;0.0;0;Bajo
501;0;0.235;0;Bajo
1605;1;0.42;0;Medio
3245;0;0.03;0;Bajo
4744;1;0.64;1;Medio
3966;0;0.16;0;Bajo
1473;0;0.13;0;Bajo
829;0;0.32;0;Bajo
2007;0;0.17;0;Bajo
3514;0;0.015;0;Bajo
3550;1;0.435;0;Medio
97;1;0.1;0;Bajo
2523;0;0.01;0;Bajo
1547;0;0.06;0;Bajo
1413;1;0.205;0;Bajo
1474;0;0.12;0;Bajo
3133;1;0.655;1;Medio
2476;0;0.17;0;Bajo
491;0;0.26;0;Bajo
226;0;0.06;0;Bajo
2593;1;0.1;0;Bajo
3093;0;0.125;0;Bajo
748;0;0.4;0;Medio
4293;0;0.37;0;Medio
2066;1;0.7;1;Alto
1745;0;0.0;0;Bajo
2106;1;0.815;1;Alto
3720;0;0.045;0;Bajo
3986;1;0.295;0;Bajo
799;0;0.22;0;Bajo
1257;1;0.485;0;Medio
853;0;0.005;0;Bajo
4960;1;0.25;0;Bajo
2352;1;0.44;0;Medio
4313;0;0.005;0;Bajo
3596;0;0.155;0;Bajo
2851;0;0.005;0;Bajo
2342;1;0.455;0;Medio
513;0;0.115;0;Bajo
4022;0;0.055;0;Bajo
3244;1;0.745;1;Alto
1147;1;0.365;0;Medio
