Antecedente;Consecuente;Soporte Antecedente;Soporte Consecuente;Soporte Regla;Confianza;Lift
Shampoo Anticaspa;Desodorante Roll-On;0.016088688509403083;0.03591390544421456;0.0011734552079794955;0.07293666026871401;2.0308752102164798
Desodorante Roll-On;Shampoo Anticaspa;0.03591390544421456;0.016088688509403083;0.0011734552079794955;0.03267411865864145;2.0308752102164798
Toallitas Húmedas X80;Talco Corporal;0.027051230583948368;0.03285674582342587;0.001760182811969243;0.06506849315068493;1.9803693737769081
Talco Corporal;Toallitas Húmedas X80;0.03285674582342587;0.027051230583948368;0.001760182811969243;0.053571428571428575;1.9803693737769081
Paracetamol 500Mg;Colágeno Hidrolizado;0.01815767532347219;0.034771330636445046;0.0012352160083994688;0.06802721088435373;1.956416669687413
Colágeno Hidrolizado;Paracetamol 500Mg;0.034771330636445046;0.01815767532347219;0.0012352160083994688;0.035523978685612786;1.956416669687413
Desodorante Roll-On;Contorno De Ojos;0.03591390544421456;0.01988697773523145;0.0013896180094494024;0.03869303525365434;1.9456468332594543
Contorno De Ojos;Desodorante Roll-On;0.01988697773523145;0.03591390544421456;0.0013896180094494024;0.06987577639751552;1.945646833259454
Crema Antipañalitis;Enjuague Bucal Menta;0.037704968656393785;0.02241917055245036;0.0016057808109193096;0.04258804258804259;1.8996261475600322
Enjuague Bucal Menta;Crema Antipañalitis;0.02241917055245036;0.037704968656393785;0.0016057808109193096;0.07162534435261708;1.899626147560032
Magnesio Quelado;Enalapril 10Mg;0.07315566809745855;0.008461229657536361;0.0011734552079794955;0.016040523427606587;1.8957674093291392
Enalapril 10Mg;Magnesio Quelado;0.008461229657536361;0.07315566809745855;0.0011734552079794955;0.13868613138686134;1.895767409329139
Gel De Ducha Aloe Vera;Fórmula Infantil Etapa 2;0.018898804928511873;0.03798289225828367;0.0013587376092394157;0.0718954248366013;1.8928370264094796
Toallas Higienicas Nocturnas;Fórmula Infantil Etapa 2;0.018898804928511873;0.03798289225828367;0.0013587376092394157;0.0718954248366013;1.8928370264094796
Fórmula Infantil Etapa 2;Gel De Ducha Aloe Vera;0.03798289225828367;0.018898804928511873;0.0013587376092394157;0.03577235772357723;1.8928370264094796
Fórmula Infantil Etapa 2;Toallas Higienicas Nocturnas;0.03798289225828367;0.018898804928511873;0.0013587376092394157;0.03577235772357723;1.8928370264094796
Limpiador Facial Espumoso;Talco Corporal;0.031806812216286326;0.03285674582342587;0.0019454652132291634;0.061165048543689315;1.8615674501788453
Talco Corporal;Limpiador Facial Espumoso;0.03285674582342587;0.031806812216286326;0.0019454652132291634;0.05921052631578948;1.861567450178845
Limpiador Facial Espumoso;Toallas Higienicas Nocturnas;0.031806812216286326;0.018898804928511873;0.001111694407559522;0.03495145631067961;1.8494003426613366
Toallas Higienicas Nocturnas;Limpiador Facial Espumoso;0.018898804928511873;0.031806812216286326;0.001111694407559522;0.05882352941176471;1.8494003426613363
Fórmula Infantil Etapa 1;Tampones Regular;0.018713522527251954;0.03776672945681376;0.0012969768088194422;0.0693069306930693;1.8351319187519732
Tampones Regular;Fórmula Infantil Etapa 1;0.03776672945681376;0.018713522527251954;0.0012969768088194422;0.03434178250204415;1.835131918751973
Proteína Whey Vainilla;Clorfenamina 4Mg;0.017107741716332645;0.03260970262174598;0.0010190532069295618;0.0595667870036101;1.8266583935018048
Clorfenamina 4Mg;Proteína Whey Vainilla;0.03260970262174598;0.017107741716332645;0.0010190532069295618;0.03125;1.8266583935018048
Toallas Higiénicas Nocturnas;Crema Antipañalitis;0.023407343359169934;0.037704968656393785;0.0016057808109193096;0.06860158311345647;1.8194308484545956
Crema Antipañalitis;Toallas Higiénicas Nocturnas;0.037704968656393785;0.023407343359169934;0.0016057808109193096;0.04258804258804259;1.8194308484545954
Cetirizina 10Mg;Colágeno Hidrolizado;0.016243090510453015;0.034771330636445046;0.0010190532069295618;0.06273764258555134;1.8042922556375747
Colágeno Hidrolizado;Cetirizina 10Mg;0.034771330636445046;0.016243090510453015;0.0010190532069295618;0.029307282415630555;1.8042922556375747
Toallas Higienicas Nocturnas;Loción Corporal Hidratante;0.018898804928511873;0.030973041410616683;0.0010499336071395486;0.05555555555555556;1.7936745319596765
Loción Corporal Hidratante;Toallas Higienicas Nocturnas;0.030973041410616683;0.018898804928511873;0.0010499336071395486;0.03389830508474576;1.7936745319596765
Colágeno Hidrolizado;Ranitidina 150Mg;0.034771330636445046;0.019362010931661674;0.0012043356081894822;0.03463587921847248;1.7888575386471999
Ranitidina 150Mg;Colágeno Hidrolizado;0.019362010931661674;0.034771330636445046;0.0012043356081894822;0.06220095693779905;1.7888575386471997
Aceite Corporal Para Bebé;Desodorante En Barra;0.047771979124849456;0.01451378809869376;0.0012352160083994688;0.025856496444731737;1.7815126050420167
Desodorante En Barra;Aceite Corporal Para Bebé;0.01451378809869376;0.047771979124849456;0.0012352160083994688;0.08510638297872339;1.7815126050420165
Proteína Whey Vainilla;Ácido Acetilsalicílico 100Mg;0.017107741716332645;0.03461692863539512;0.0010499336071395486;0.061371841155234655;1.7728852204549186
Ácido Acetilsalicílico 100Mg;Proteína Whey Vainilla;0.03461692863539512;0.017107741716332645;0.0010499336071395486;0.030330062444246207;1.7728852204549186
Azitromicina 500Mg;Pulsioximetro Digital;0.08334620016675416;0.012568322885464596;0.0018528240125992032;0.02223045572434235;1.7687686676200942
Pulsioximetro Digital;Azitromicina 500Mg;0.012568322885464596;0.08334620016675416;0.0018528240125992032;0.14742014742014742;1.768768667620094
Vitamina C 1000Mg;Azitromicina 500Mg;0.009017076861316123;0.08334620016675416;0.001327857209029429;0.14726027397260272;1.7668504824211908
