id_cliente;recencia;frecuencia;monto;afinidad_promociones;afinidad_medicamentos;segmento
1;170;5;337.55;0.32084135683602427;0.0;Esporádicos Recientes
2;128;5;211.37;0.9489047641576382;0.24719685858920376;Cazadores de Ofertas
3;179;5;502.37999999999994;0.853099247581512;0.011365898323977866;Cazadores de Ofertas
4;212;6;493.15;0.06957315218493358;0.05367535232687824;Esporádicos Recientes
5;381;1;102.96;1.0;0.0;Cazadores de Ofertas
6;441;2;109.69999999999999;0.8170464904284412;0.0;Cazadores de Ofertas
7;217;4;160.41;0.06421046069447042;0.0;Esporádicos Recientes
8;131;9;664.81;0.2876009686978235;0.0;Esporádicos Recientes
9;701;5;362.0;0.0;0.0;Esporádicos / Desertores
10;173;3;123.42;0.679468481607519;0.0;Cazadores de Ofertas
11;160;4;154.23;0.5919081890682747;0.06892303702262856;Cazadores de Ofertas
12;11;6;814.09;0.0;0.07200678057708607;Esporádicos Recientes
13;0;24;2002.7;0.1506066809806761;0.06672991461526938;Frecuentes Regulares
14;26;5;320.27;0.7726605676460486;0.2240921722296812;Cazadores de Ofertas
15;600;1;45.470000000000006;1.0;0.0;Cazadores de Ofertas
16;53;5;271.1;0.06624861674658795;0.0;Esporádicos Recientes
18;233;3;199.65;0.5188580015026296;0.393939393939394;En Riesgo (Solo Medicamentos)
19;157;25;2157.38;0.41942541415976786;0.038922211200622975;Frecuentes Regulares
20;691;8;1000.47;0.869701240417004;0.030615610662988398;Cazadores de Ofertas
21;676;55;3797.24;0.4156861299259462;0.049196258335001214;Leales VIP / Crónicos
22;12;33;1765.47;0.29572295196180054;0.08634527916079004;Frecuentes Regulares
24;537;2;132.37;1.0;0.0;Cazadores de Ofertas
25;21;26;1916.63;0.3283106285511549;0.10512201102977621;Frecuentes Regulares
26;0;79;8535.63;0.3101481671534497;0.0385712595321025;Leales VIP / Crónicos
27;283;8;944.77;0.27932724366777095;0.011399599902621802;Esporádicos Recientes
28;5;48;4736.93;0.2784335001783856;0.03978737283430408;Leales VIP / Crónicos
29;188;6;328.24;0.535857908847185;0.0;Cazadores de Ofertas
30;3;35;4088.15;0.1850372417841811;0.009004072746841481;Frecuentes Regulares
31;345;27;2266.16;0.5873857097468846;0.01564320259822784;Frecuentes Regulares
32;5;96;7220.54;0.17814734078060643;0.04965279605126486;Leales VIP / Crónicos
33;4;63;5885.27;0.4779848673043038;0.046351314383197374;Leales VIP / Crónicos
34;178;5;240.82999999999998;0.0;0.1712826475106922;Esporádicos Recientes
35;152;6;494.76;0.0;0.11769342711617754;Esporádicos Recientes
36;3;3;223.17;0.0;0.31402070170721874;Esporádicos Recientes
37;67;31;2463.92;0.5549896100522744;0.13131919867528166;Frecuentes Regulares
38;544;6;361.26;0.0;0.01525217295022975;Esporádicos / Desertores
39;219;14;2059.89;0.4640587604192457;0.015466845316982947;Frecuentes Regulares
40;661;3;311.05;0.0;0.29191448320205754;Esporádicos / Desertores
41;169;7;551.88;0.0;0.0;Esporádicos Recientes
42;110;4;266.6;1.0;0.0;Cazadores de Ofertas
43;424;3;234.26999999999998;0.0;0.415588850471678;En Riesgo (Solo Medicamentos)
44;134;5;412.46000000000004;0.08265043883043205;0.16772535518595744;Esporádicos Recientes
45;628;3;480.88;0.0;0.0;Esporádicos / Desertores
46;22;30;2283.47;0.42963997775315643;0.027204211134807994;Frecuentes Regulares
47;162;6;524.66;0.29373308428315487;0.08418785499180423;Esporádicos Recientes
48;579;2;31.07;0.4135822336659157;0.0;Esporádicos / Desertores
49;499;9;524.0;0.1192557251908397;0.11727099236641221;Esporádicos / Desertores
50;669;2;126.64;1.0;0.05551168667087807;Cazadores de Ofertas
51;9;6;672.78;0.0;0.20601088022830646;Esporádicos Recientes
52;78;5;381.91;0.8619831897567489;0.1742033463381425;Cazadores de Ofertas
53;394;1;11.75;0.0;0.0;Esporádicos / Desertores
54;5;7;493.6;0.0;0.13833063209076174;Esporádicos Recientes
55;360;4;239.38;0.879313225833403;0.0;Cazadores de Ofertas
56;308;1;20.380000000000003;1.0;0.0;Cazadores de Ofertas
58;521;6;397.48;0.872597363389353;0.04188890007044379;Cazadores de Ofertas
59;13;28;2567.61;0.5147199146287792;0.010507826344343572;Frecuentes Regulares
60;303;10;353.69000000000005;1.0;0.008595097401679436;Cazadores de Ofertas
61;454;4;472.75;0.1234056054997356;0.0;Esporádicos / Desertores
62;719;1;80.69000000000001;1.0;0.0;Cazadores de Ofertas
63;126;6;970.4200000000001;0.0;0.0;Esporádicos Recientes
64;315;5;209.34;1.0;0.0;Cazadores de Ofertas
65;136;1;7.8;0.0;0.0;Esporádicos Recientes
66;134;7;787.14;0.0;0.16150875320781563;Esporádicos Recientes
68;58;5;232.84;0.0;0.09762068373131765;Esporádicos Recientes
69;149;2;266.5;0.0;0.019887429643527205;Esporádicos Recientes
70;558;6;266.89;0.2335793772715351;0.5290943834538574;En Riesgo (Solo Medicamentos)
71;137;28;1940.3;0.6435087357625109;0.06601556460341185;Frecuentes Regulares
72;213;3;160.91;0.12510098813001055;0.0;Esporádicos Recientes
73;20;5;308.86;0.0;0.0;Esporádicos Recientes
74;417;4;189.01000000000002;0.16353632082958575;0.3580233850060843;Esporádicos / Desertores
75;29;4;205.53;0.0;0.0;Esporádicos Recientes
76;559;3;97.08;0.0;0.032756489493201486;Esporádicos / Desertores
78;131;1;30.97;0.0;0.0;Esporádicos Recientes
79;387;1;30.96;1.0;0.0;Cazadores de Ofertas
80;29;25;1821.27;0.466696316306753;0.050316537361291845;Frecuentes Regulares
81;7;32;2804.43;0.17313678715460895;0.06865922843501175;Frecuentes Regulares
82;205;4;288.48;0.12170687742651136;0.0;Esporádicos Recientes
83;295;7;514.21;0.6040722661947453;0.0;Cazadores de Ofertas
84;517;28;2325.96;0.38326540439216494;0.07113621902354297;Esporádicos / Desertores
85;38;32;2735.27;0.11238378660973139;0.09341673765295565;Frecuentes Regulares
86;691;8;371.4;0.3453150242326333;0.15304254173397955;Esporádicos / Desertores
87;124;32;1560.29;0.27550647636016384;0.09207903658935197;Frecuentes Regulares
88;443;4;90.63000000000001;0.0;0.0;Esporádicos / Desertores
89;107;9;717.46;0.3203105399604159;0.0;Esporádicos Recientes
90;604;66;5217.62;0.36056094541189276;0.08702243551657653;Leales VIP / Crónicos
91;399;3;140.52;1.0;0.0;Cazadores de Ofertas
92;156;2;65.80000000000001;0.0;0.7373860182370819;En Riesgo (Solo Medicamentos)
93;97;16;969.25;0.4023523342790818;0.13608460149600207;Esporádicos Recientes
94;307;5;766.97;0.0969399063848651;0.03678109965187686;Esporádicos / Desertores
95;29;35;2338.94;0.5690483723396068;0.07755222451195841;Frecuentes Regulares
96;59;1;79.91;0.0;0.0;Esporádicos Recientes
97;241;1;462.42;1.0;0.0;Cazadores de Ofertas
98;0;6;500.36;0.043888400351746744;0.0;Esporádicos Recientes
99;29;5;298.53;0.3720564097410646;0.5192777945265133;En Riesgo (Solo Medicamentos)
100;14;6;521.72;0.3274361726596641;0.015468067162462623;Esporádicos Recientes
101;58;21;1956.42;0.10410341337749564;0.044238967092955495;Frecuentes Regulares
103;224;9;685.06;0.11889469535515139;0.0;Esporádicos Recientes
104;16;33;2172.66;0.08456914565555586;0.08709139948266181;Frecuentes Regulares
105;21;45;3776.84;0.4707665667595132;0.06345251585981931;Frecuentes Regulares
106;183;5;262.4;0.9678734756097561;0.0;Cazadores de Ofertas
