id_venta;fecha;id_cliente;id_producto;id_tienda;id_promocion;cantidad;precio_unitario;descuento
45562;2025-06-29;575;46;5;31.0;1;91.66;27.5
34463;2024-12-29;3026;78;2;27.0;1;22.49;6.75
40559;2025-04-05;1496;381;8;;1;58.19;0.0
40576;06/04/2025;81;246;5;;2;7.98;0.0
17499;2024-07-10;3289;418;2;;2;75.67;0.0
47496;16/07/2025;4992;241;4;;1;70.4;0.0
16085;30/06/2024;3834;383;4;;1;66.61;0.0
49657;2025-08-08;3421;496;3;;1;58.02;0.0
36132;19/01/2025;3503;470;2;32.0;1;52.93;2.65
51813;11/09/2025;3476;9;8;;1;36.04;0.0
44306;11/06/2025;2724;314;9;;2;339.32;0.0
11479;10 de mayo de 2024;689;246;12;;2;7.91;0.0
14522;2024-06-13;2334;241;10;;1;71.51;0.0
28582;09/11/2024;4183;226;12;;1;8.03;0.0
49508;06/08/2025;1741;349;8;;1;134.27;0.0
23201;2024-08-31;4323;361;4;;2;19.58;0.0
45037;21/06/2025;314;167;6;31.0;1;147.36;44.21
43815;04/06/2025;2477;114;1;;1;30.82;0.0
11714;2024-05-12;1850;58;5;20.0;2;24.58;4.92
2727;2024-01-24;898;197;15;11.0;1;48.69;4.87
25506;2024-09-30;4754;331;5;9.0;1;28.09;8.43
13624;03/06/2024;2858;420;7;;1;7.87;0.0
46468;2025-07-07;360;279;5;;1;222.31;0.0
21309;2024-08-08;4970;3;12;34.0;1;93.01;13.95
51701;2025-09-09;1727;103;10;;2;12.26;0.0
13872;06/06/2024;3774;204;1;;3;53.36;0.0
23720;06/09/2024;4758;9;6;9.0;1;40.17;12.05
42707;18/05/2025;2909;370;11;;1;102.61;0.0
15746;2024-06-26;2640;114;13;;2;33.25;
52927;2025-10-03;1264;470;7;25.0;1;51.83;12.96
37639;2025-02-11;4632;411;11;10.0;2;79.73;7.97
27635;29 de octubre de 2024;925;29;12;18.0;1;18.82;4.71
38490;28 de febrero de 2025;1006;320;10;;1;52.73;0.0
39884;2025-03-25;3370;163;7;36.0;1;18.1;3.62
11800;14/05/2024;2392;307;14;19.0;1;229.96;57.49
58668;19 de diciembre de 2025;912;389;4;;1;86.27;0.0
54161;23/10/2025;1889;30;8;;2;7.76;0.0
49114;2025-07-31;3689;393;1;;1;40.41;0.0
2981;26/01/2024;1451;131;3;11.0;1;9.93;0.99
21430;09/08/2024;2674;44;15;34.0;1;11.75;1.76
55294;2025-11-10;410;224;5;;1;40.27;0.0
28332;2024-11-06;4700;246;14;18.0;1;7.36;1.84
28397;2024-11-07;1304;443;4;;1;40.93;0.0
3132;27/01/2024;2419;98;10;11.0;1;19.07;1.91
55306;10/11/2025;112;150;10;;1;86.1;0.0
4616;12/02/2024;4152;420;3;;3;8.33;0.0
29585;21 de noviembre de 2024;2410;203;3;;1;24.69;0.0
20466;30/07/2024;1186;494;5;34.0;1;65.83;9.87
31164;2024-12-06;2196;194;13;40.0;2;48.59;29.15
15068;19/06/2024;3098;366;1;;1;24.61;
21961;2024-08-15;2585;226;7;;2;7.57;0.0
55975;20/11/2025;3168;322;13;;2;10.39;0.0
19483;2024-07-23;1100;120;6;34.0;2;5.47;
38075;20/02/2025;2131;395;15;;2;70.63;0.0
24963;22/09/2024;4006;350;10;6.0;1;31.3;7.83
46661;9 de julio de 2025;2709;10;3;;1;27.19;0.0
38578;02/03/2025;254;150;5;22.0;1;84.64;
